master_metadata_track_name,master_metadata_album_artist_name,spotify_track_uri,track_artist,track_listen_count,popularity,genre,track_uri,mean_bar_duration,mean_pitches,mean_max_loudness,mean_timbre,mean_tatums,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Şehrimin Tadı,Ezhel,spotify:track:5JaXKUIcNxwSuUyD4CsphL,Şehrimin Tadı - Ezhel,39,1,turkish hip hop,5JaXKUIcNxwSuUyD4CsphL,2.010276666666667,0.38348340643274853,-9.778643859649122,3.3709497807017543,0.2499847891566265,0.847,0.636,10.0,-8.687,0.0,0.523,0.663,0.00015,0.322,0.302,125.055,audio_features,5JaXKUIcNxwSuUyD4CsphL,spotify:track:5JaXKUIcNxwSuUyD4CsphL,https://api.spotify.com/v1/tracks/5JaXKUIcNxwSuUyD4CsphL,https://api.spotify.com/v1/audio-analysis/5JaXKUIcNxwSuUyD4CsphL,253450.0,4.0
Geceler,Ezhel,spotify:track:0R0o8uOkDz40XsR6uwThfQ,Geceler - Ezhel,55,1,turkish hip hop,0R0o8uOkDz40XsR6uwThfQ,1.8456895833333333,0.34679338134430726,-11.793541152263375,-0.19405341220850475,0.23062505175983436,0.788,0.497,11.0,-10.964,0.0,0.151,0.37,4.5e-06,0.0939,0.339,130.02,audio_features,0R0o8uOkDz40XsR6uwThfQ,spotify:track:0R0o8uOkDz40XsR6uwThfQ,https://api.spotify.com/v1/tracks/0R0o8uOkDz40XsR6uwThfQ,https://api.spotify.com/v1/audio-analysis/0R0o8uOkDz40XsR6uwThfQ,222928.0,4.0
Mono,Courtney Love,spotify:track:7zL1KgkpPb2Gi5Q2Inypl5,Mono - Courtney Love,72,1,alternative rock,7zL1KgkpPb2Gi5Q2Inypl5,1.5275538059701492,0.4307926977195536,-2.0444832605531293,8.777960456089277,0.19236803001876174,0.381,0.981,2.0,-2.723,1.0,0.0966,9.11e-05,3.53e-05,0.335,0.442,155.967,audio_features,7zL1KgkpPb2Gi5Q2Inypl5,spotify:track:7zL1KgkpPb2Gi5Q2Inypl5,https://api.spotify.com/v1/tracks/7zL1KgkpPb2Gi5Q2Inypl5,https://api.spotify.com/v1/audio-analysis/7zL1KgkpPb2Gi5Q2Inypl5,219693.0,4.0
Kazıdık Tırnaklarla,Ezhel,spotify:track:27OWNTEEtJCFVejrh5mqgv,Kazıdık Tırnaklarla - Ezhel,134,1,turkish hip hop,27OWNTEEtJCFVejrh5mqgv,1.7183256565656566,0.29212402834933704,-9.765669410150892,9.626282578875172,0.2142744,0.704,0.521,1.0,-6.271,1.0,0.135,0.139,0.0,0.0998,0.358,139.821,audio_features,27OWNTEEtJCFVejrh5mqgv,spotify:track:27OWNTEEtJCFVejrh5mqgv,https://api.spotify.com/v1/tracks/27OWNTEEtJCFVejrh5mqgv,https://api.spotify.com/v1/audio-analysis/27OWNTEEtJCFVejrh5mqgv,172609.0,4.0
Mahallemiz Esmer,Ben Fero,spotify:track:3qOxkhNytyb6ifxNzxxULn,Mahallemiz Esmer - Ben Fero,98,1,turkce drill,3qOxkhNytyb6ifxNzxxULn,1.6757778195488722,0.36226443499822886,-7.236788522848033,0.3153594580233791,0.2143198854961832,0.772,0.716,5.0,-4.454,1.0,0.219,0.109,2.3e-05,0.0746,0.388,140.07,audio_features,3qOxkhNytyb6ifxNzxxULn,spotify:track:3qOxkhNytyb6ifxNzxxULn,https://api.spotify.com/v1/tracks/3qOxkhNytyb6ifxNzxxULn,https://api.spotify.com/v1/audio-analysis/3qOxkhNytyb6ifxNzxxULn,226768.0,4.0
Motivasyon,Ben Fero,spotify:track:1DZn3kv6JAsqKw8iNWGWP0,Motivasyon - Ben Fero,57,1,turkce drill,1DZn3kv6JAsqKw8iNWGWP0,2.0009595294117655,0.3357519035532994,-6.185534263959391,8.291749365482234,0.25015412280701754,0.923,0.648,1.0,-4.957,1.0,0.244,0.111,2.73e-06,0.21,0.542,119.961,audio_features,1DZn3kv6JAsqKw8iNWGWP0,spotify:track:1DZn3kv6JAsqKw8iNWGWP0,https://api.spotify.com/v1/tracks/1DZn3kv6JAsqKw8iNWGWP0,https://api.spotify.com/v1/audio-analysis/1DZn3kv6JAsqKw8iNWGWP0,173190.0,4.0
3 2 1,Ben Fero,spotify:track:5NK38OSKOCAoPxTe6sOgW9,3 2 1 - Ben Fero,87,1,turkce drill,5NK38OSKOCAoPxTe6sOgW9,1.6407134615384615,0.3053254010695187,-7.101567914438502,1.340807397504456,0.2056135755258126,0.841,0.635,6.0,-5.616,1.0,0.169,0.304,0.0,0.0978,0.445,145.966,audio_features,5NK38OSKOCAoPxTe6sOgW9,spotify:track:5NK38OSKOCAoPxTe6sOgW9,https://api.spotify.com/v1/tracks/5NK38OSKOCAoPxTe6sOgW9,https://api.spotify.com/v1/audio-analysis/5NK38OSKOCAoPxTe6sOgW9,216100.0,4.0
Kimlerdensin,Ben Fero,spotify:track:4zYPFciGobWPMa0kQQ5BQS,Kimlerdensin - Ben Fero,61,1,turkce drill,4zYPFciGobWPMa0kQQ5BQS,1.8823129921259838,0.34772901036084314,-5.808779206859593,0.3435041979278313,0.2343668031189084,0.878,0.695,11.0,-4.279,0.0,0.089,0.0922,0.0,0.125,0.36,127.984,audio_features,4zYPFciGobWPMa0kQQ5BQS,spotify:track:4zYPFciGobWPMa0kQQ5BQS,https://api.spotify.com/v1/tracks/4zYPFciGobWPMa0kQQ5BQS,https://api.spotify.com/v1/audio-analysis/4zYPFciGobWPMa0kQQ5BQS,243926.0,4.0
Babafingo,Ben Fero,spotify:track:1pNZLvVjMheeoOpuQqKDIJ,Babafingo - Ben Fero,101,1,turkce drill,1pNZLvVjMheeoOpuQqKDIJ,1.6470425954198475,0.3315876572327044,-7.747982311320755,1.6230228970125788,0.20549804924242426,0.889,0.729,6.0,-6.083,1.0,0.28,0.21,0.0,0.104,0.632,146.003,audio_features,1pNZLvVjMheeoOpuQqKDIJ,spotify:track:1pNZLvVjMheeoOpuQqKDIJ,https://api.spotify.com/v1/tracks/1pNZLvVjMheeoOpuQqKDIJ,https://api.spotify.com/v1/audio-analysis/1pNZLvVjMheeoOpuQqKDIJ,219419.0,4.0
Diskotek,Ben Fero,spotify:track:3hLlXmMzCVo04WHmWACs8O,Diskotek - Ben Fero,74,1,turkce drill,3hLlXmMzCVo04WHmWACs8O,1.7302668539325843,0.33223040794417613,-5.7712818035426725,5.235001207729468,0.22067946022727272,0.821,0.653,0.0,-5.495,1.0,0.186,0.0252,0.0,0.166,0.201,136.023,audio_features,3hLlXmMzCVo04WHmWACs8O,spotify:track:3hLlXmMzCVo04WHmWACs8O,https://api.spotify.com/v1/tracks/3hLlXmMzCVo04WHmWACs8O,https://api.spotify.com/v1/audio-analysis/3hLlXmMzCVo04WHmWACs8O,158879.0,4.0
